,Unnamed: 0,pathname,class,mode
2264,2264,currencyDataset/5000_back/IMG20220212170516.jpg,5000_back,val
2423,2423,currencyDataset/5000_front/IMG20211228234553.jpg,5000_front,val
2855,2855,currencyDataset/500_back/IMG20220218162120.jpg,500_back,val
1747,1747,currencyDataset/20_back/IMG20220212163105.jpg,20_back,val
2284,2284,currencyDataset/5000_back/IMG20220212171405.jpg,5000_back,val
2459,2459,currencyDataset/5000_front/IMG20220208014816.jpg,5000_front,val
740,740,currencyDataset/100_back/IMG20220218164228.jpg,100_back,val
3079,3079,currencyDataset/500_front/IMG20211229234547.jpg,500_front,val
2393,2393,currencyDataset/5000_front/IMG20211228013853.jpg,5000_front,val
1232,1232,currencyDataset/10_back/IMG20220209114354.jpg,10_back,val
1792,1792,currencyDataset/20_back/IMG20220215120332.jpg,20_back,val
2704,2704,currencyDataset/500_back/IMG20211228224722.jpg,500_back,val
733,733,currencyDataset/100_back/IMG20220218164205.jpg,100_back,val
1591,1591,currencyDataset/20_back/IMG20211228115741.jpg,20_back,val
1989,1989,currencyDataset/20_front/IMG20220212162444.jpg,20_front,val
1373,1373,currencyDataset/10_front/IMG20211228230737.jpg,10_front,val
1947,1947,currencyDataset/20_front/IMG20211229225911.jpg,20_front,val
3332,3332,currencyDataset/50_back/IMG20220209120742.jpg,50_back,val
2851,2851,currencyDataset/500_back/IMG20220218162104.jpg,500_back,val
2854,2854,currencyDataset/500_back/IMG20220218162116.jpg,500_back,val
2539,2539,currencyDataset/5000_front/IMG20220212172028.jpg,5000_front,val
3189,3189,currencyDataset/50_back/IMG20211228002235.jpg,50_back,val
3015,3015,currencyDataset/500_front/IMG20211228233436.jpg,500_front,val
1255,1255,currencyDataset/10_back/IMG20220215122715.jpg,10_back,val
2123,2123,currencyDataset/5000_back/IMG20211228013342.jpg,5000_back,val
720,720,currencyDataset/100_back/IMG20220218164059.jpg,100_back,val
1041,1041,currencyDataset/10_back/IMG20211228223806.jpg,10_back,val
1905,1905,currencyDataset/20_front/IMG20211228233959.jpg,20_front,val
1737,1737,currencyDataset/20_back/IMG20211230001954.jpg,20_back,val
1861,1861,currencyDataset/20_front/IMG20211228115311.jpg,20_front,val
3379,3379,currencyDataset/50_front/IMG20211224211332.jpg,50_front,val
3121,3121,currencyDataset/50_back/IMG20211227235222.jpg,50_back,val
2716,2716,currencyDataset/500_back/IMG20211228224818.jpg,500_back,val
521,521,currencyDataset/100_back/IMG20211228233012.jpg,100_back,val
3387,3387,currencyDataset/50_front/IMG20211224211617.jpg,50_front,val
1188,1188,currencyDataset/10_back/IMG20211230000818.jpg,10_back,val
819,819,currencyDataset/100_front/IMG20211229002659.jpg,100_front,val
2273,2273,currencyDataset/5000_back/IMG20220212170607.jpg,5000_back,val
1612,1612,currencyDataset/20_back/IMG20211228221933.jpg,20_back,val
2755,2755,currencyDataset/500_back/IMG20211228233724.jpg,500_back,val
3416,3416,currencyDataset/50_front/IMG20211228000927.jpg,50_front,val
190,190,currencyDataset/1000_back/IMG20220212173020.jpg,1000_back,val
2218,2218,currencyDataset/5000_back/IMG20220209121919.jpg,5000_back,val
2971,2971,currencyDataset/500_front/IMG20211228224451.jpg,500_front,val
82,82,currencyDataset/1000_back/IMG20211229001535.jpg,1000_back,val
3125,3125,currencyDataset/50_back/IMG20211227235330.jpg,50_back,val
1776,1776,currencyDataset/20_back/IMG20220215115931.jpg,20_back,val
590,590,currencyDataset/100_back/IMG20211229233149.jpg,100_back,val
227,227,currencyDataset/1000_back/IMG20220218160940.jpg,1000_back,val
1409,1409,currencyDataset/10_front/IMG20211229002017.jpg,10_front,val
203,203,currencyDataset/1000_back/IMG20220212173335.jpg,1000_back,val
2324,2324,currencyDataset/5000_back/IMG20220218163118.jpg,5000_back,val
865,865,currencyDataset/100_front/IMG20211229232742.jpg,100_front,val
2792,2792,currencyDataset/500_back/IMG20211229232245.jpg,500_back,val
364,364,currencyDataset/1000_front/IMG20211229235308.jpg,1000_front,val
3005,3005,currencyDataset/500_front/IMG20211228233333.jpg,500_front,val
1230,1230,currencyDataset/10_back/IMG20220209114344.jpg,10_back,val
3483,3483,currencyDataset/50_front/IMG20211228003322.jpg,50_front,val
2309,2309,currencyDataset/5000_back/IMG20220218162937.jpg,5000_back,val
1366,1366,currencyDataset/10_front/IMG20211228230711.jpg,10_front,val
2714,2714,currencyDataset/500_back/IMG20211228224813.jpg,500_back,val
464,464,currencyDataset/100_back/IMG20211228220126.jpg,100_back,val
2163,2163,currencyDataset/5000_back/IMG20211228234927.jpg,5000_back,val
796,796,currencyDataset/100_front/IMG20211228232611.jpg,100_front,val
3281,3281,currencyDataset/50_back/IMG20211228220925.jpg,50_back,val
1715,1715,currencyDataset/20_back/IMG20211230001805.jpg,20_back,val
1719,1719,currencyDataset/20_back/IMG20211230001818.jpg,20_back,val
2656,2656,currencyDataset/500_back/IMG20211228122827.jpg,500_back,val
155,155,currencyDataset/1000_back/IMG20220209115028.jpg,1000_back,val
1038,1038,currencyDataset/10_back/IMG20211228223759.jpg,10_back,val
